theme,rank,title,award,is_oral,public_total_votes,visits_last_7_days,github_stars,score,official_topic,url,alphaxiv_url
"Multimodal, vision-language, and video",4,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,,true,14,39,5069,3.288,Applications->Robotics,https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671
"Multimodal, vision-language, and video",5,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,,true,89,40,1228,3.0889,,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900
"Multimodal, vision-language, and video",6,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,,true,0,13,1013,2.9064,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/62831,https://www.alphaxiv.org/abs/2604.06182
"Multimodal, vision-language, and video",7,Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence,,true,52,21,356,2.7686,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/63725,https://www.alphaxiv.org/abs/2603.07660
"Multimodal, vision-language, and video",8,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,,true,66,110,31,2.4529,Applications->Robotics,https://icml.cc/virtual/2026/poster/65933,https://www.alphaxiv.org/abs/2603.04639
"Multimodal, vision-language, and video",9,PaperBanana: Automating Academic Illustration for AI Scientists,,false,420,123,6765,2.4359,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65206,https://www.alphaxiv.org/abs/2601.23265
"Multimodal, vision-language, and video",10,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,,true,30,20,35,2.2838,Applications->Robotics,https://icml.cc/virtual/2026/poster/63621,https://www.alphaxiv.org/abs/2605.04678
"Multimodal, vision-language, and video",11,When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models,,true,8,7,25,2.1723,Social Aspects->Safety,https://icml.cc/virtual/2026/poster/60813,https://www.alphaxiv.org/abs/2602.10179
"Multimodal, vision-language, and video",12,CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal,,true,2,4,20,2.1179,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/65005,https://www.alphaxiv.org/abs/2603.21901
RL for LLMs and verifiable rewards,1,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,Outstanding Paper Award,true,92,588,212,7.6736,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165
